"Customer ID","Purchase Date","Product Category","Product Price","Quantity","Total Purchase Amount","Payment Method","Customer Age","Returns","Customer Name","Age","Gender","Churn"
"25652","2021-03-17 20:15:48","Home","246","2","2698","Credit Card","42","1.0","Christopher Gutierrez","42","Male","1"
"25652","2023-02-14 13:17:43","Electronics","493","1","5067","Cash","42","","Christopher Gutierrez","42","Male","1"
"20216","2022-07-22 17:59:09","Books","47","1","4688","Cash","62","","Amanda Chase","62","Female","0"
"20216","2021-05-23 00:35:59","Home","309","5","2261","PayPal","62","0.0","Amanda Chase","62","Female","0"
"20216","2020-10-01 15:46:45","Electronics","397","1","814","Cash","62","1.0","Amanda Chase","62","Female","0"
"20216","2020-07-09 14:31:04","Home","196","3","2169","PayPal","62","0.0","Amanda Chase","62","Female","0"
"40615","2021-04-27 08:20:50","Electronics","119","4","4565","Cash","45","0.0","Joe Patel","45","Male","0"
"40615","2022-10-13 18:17:21","Books","338","1","3071","PayPal","45","1.0","Joe Patel","45","Male","0"
"40615","2020-12-13 15:16:29","Books","262","2","4459","Credit Card","45","","Joe Patel","45","Male","0"
"40615","2022-05-24 14:42:17","Home","414","1","4522","Credit Card","45","0.0","Joe Patel","45","Male","0"
"40615","2020-06-10 09:47:40","Books","462","4","1651","Credit Card","45","0.0","Joe Patel","45","Male","0"
"40615","2023-04-20 14:50:11","Books","49","1","3260","Credit Card","45","0.0","Joe Patel","45","Male","0"
"26584","2021-12-10 06:09:02","Clothing","367","4","2343","PayPal","54","1.0","Courtney Berry","54","Female","1"
"26584","2022-02-03 00:57:18","Clothing","416","3","4955","PayPal","54","1.0","Courtney Berry","54","Female","1"
"26584","2022-02-01 03:14:24","Clothing","20","4","3818","Credit Card","54","0.0","Courtney Berry","54","Female","1"
"26584","2021-12-02 10:12:11","Electronics","410","2","464","Cash","54","1.0","Courtney Berry","54","Female","1"
"26584","2021-12-18 10:36:27","Books","138","5","1327","Cash","54","","Courtney Berry","54","Female","1"
"8840","2020-10-06 02:57:57","Clothing","389","2","3870","PayPal","66","1.0","Elizabeth White","66","Female","0"
"8840","2022-12-17 08:05:28","Clothing","155","3","1763","Cash","66","","Elizabeth White","66","Female","0"
"8840","2020-06-30 09:23:35","Home","158","3","884","Cash","66","1.0","Elizabeth White","66","Female","0"
"8840","2022-08-27 22:44:19","Books","15","4","1164","Cash","66","0.0","Elizabeth White","66","Female","0"
"8840","2022-01-20 10:47:28","Books","104","5","2714","Credit Card","66","1.0","Elizabeth White","66","Female","0"
"8840","2021-01-03 02:19:36","Electronics","272","1","4665","Credit Card","66","0.0","Elizabeth White","66","Female","0"
"8840","2022-01-18 06:46:19","Home","68","5","4803","Credit Card","66","1.0","Elizabeth White","66","Female","0"
"48201","2021-08-07 00:56:48","Books","426","5","4850","PayPal","37","","Cheryl Jimenez","37","Female","0"
"48201","2021-02-04 20:28:52","Electronics","274","2","847","PayPal","37","1.0","Cheryl Jimenez","37","Female","0"
"48201","2020-10-09 02:02:27","Clothing","394","3","2996","Cash","37","1.0","Cheryl Jimenez","37","Female","0"
"47793","2021-03-22 09:47:07","Books","110","4","4669","PayPal","69","1.0","Erin Buck","69","Male","0"
"47793","2023-07-30 18:05:02","Home","107","1","4108","PayPal","69","0.0","Erin Buck","69","Male","0"
"47793","2020-08-17 17:25:52","Electronics","441","2","2169","PayPal","69","1.0","Erin Buck","69","Male","0"
"47793","2020-04-23 19:40:59","Home","83","2","4043","Credit Card","69","","Erin Buck","69","Male","0"
"47793","2021-10-21 18:30:17","Home","67","4","4018","Cash","69","0.0","Erin Buck","69","Male","0"
"47793","2022-04-16 11:21:06","Electronics","399","5","5341","PayPal","69","0.0","Erin Buck","69","Male","0"
"45229","2020-04-09 20:08:43","Electronics","219","3","2512","Credit Card","54","","Martha Simpson","54","Female","0"
"45229","2020-08-25 06:46:42","Electronics","291","2","4555","PayPal","54","","Martha Simpson","54","Female","0"
"45229","2021-12-27 20:38:17","Books","402","1","603","Credit Card","54","1.0","Martha Simpson","54","Female","0"
"45229","2020-04-13 23:11:56","Home","317","2","431","Cash","54","1.0","Martha Simpson","54","Female","0"
"45229","2022-05-03 00:55:04","Home","48","2","3941","Credit Card","54","1.0","Martha Simpson","54","Female","0"
"47255","2022-12-04 09:58:47","Home","276","1","2862","Cash","49","0.0","Katherine Costa","49","Female","1"
"47255","2020-09-16 03:34:28","Home","54","5","4077","Credit Card","49","","Katherine Costa","49","Female","1"
"47255","2020-08-21 01:44:21","Home","186","4","4639","PayPal","49","1.0","Katherine Costa","49","Female","1"
"47255","2023-03-10 20:35:41","Books","290","1","5218","Credit Card","49","1.0","Katherine Costa","49","Female","1"
"47255","2022-09-06 02:39:05","Books","289","2","2453","Cash","49","0.0","Katherine Costa","49","Female","1"
"47255","2023-04-14 00:00:41","Home","179","1","2533","PayPal","49","0.0","Katherine Costa","49","Female","1"
"47255","2022-09-11 02:51:53","Books","83","2","2502","PayPal","49","1.0","Katherine Costa","49","Female","1"
"4116","2020-04-17 08:31:05","Electronics","223","1","1280","Credit Card","62","0.0","Roberto Collins","62","Male","0"
"4116","2021-05-30 00:07:56","Clothing","122","1","1847","Cash","62","","Roberto Collins","62","Male","0"
"4116","2020-10-13 00:38:15","Clothing","425","4","4577","Credit Card","62","0.0","Roberto Collins","62","Male","0"
"4116","2023-08-05 03:44:19","Electronics","112","4","779","PayPal","62","0.0","Roberto Collins","62","Male","0"
"4116","2021-11-14 22:46:19","Books","216","5","5022","PayPal","62","0.0","Roberto Collins","62","Male","0"
"4116","2023-09-11 04:09:20","Clothing","340","2","1602","Cash","62","1.0","Roberto Collins","62","Male","0"
"4116","2022-02-14 11:37:23","Electronics","388","2","3579","Cash","62","0.0","Roberto Collins","62","Male","0"
"43374","2020-04-18 18:19:33","Clothing","427","3","711","PayPal","43","","Kim Edwards","43","Male","0"
"43374","2020-12-28 15:23:25","Clothing","174","5","2312","Credit Card","43","0.0","Kim Edwards","43","Male","0"
"43374","2023-04-02 07:24:13","Electronics","449","1","1552","Credit Card","43","1.0","Kim Edwards","43","Male","0"
"43374","2020-02-08 05:01:43","Home","356","1","3401","PayPal","43","0.0","Kim Edwards","43","Male","0"
"43374","2020-03-23 10:07:06","Books","402","4","520","Credit Card","43","1.0","Kim Edwards","43","Male","0"
"21093","2022-06-06 23:47:53","Books","223","2","855","Credit Card","22","1.0","Jonathan Holt","22","Female","0"
"21093","2023-08-12 13:21:12","Electronics","360","1","2798","Credit Card","22","1.0","Jonathan Holt","22","Female","0"
